Channel,Timestamp,Voltage,Year,Month,Day,Hour,Minute,Second
101,2024-06-20 15:03:22,4.194931,2024,06,20,15,03,22
101,2024-06-20 15:03:23,3.977775,2024,06,20,15,03,23
101,2024-06-20 15:03:24,3.969703,2024,06,20,15,03,24
101,2024-06-20 15:03:25,3.963349,2024,06,20,15,03,25
101,2024-06-20 15:03:26,3.958,2024,06,20,15,03,26
101,2024-06-20 15:03:27,3.95339,2024,06,20,15,03,27
101,2024-06-20 15:03:28,3.949356,2024,06,20,15,03,28
101,2024-06-20 15:03:29,3.945769,2024,06,20,15,03,29
101,2024-06-20 15:03:30,3.942564,2024,06,20,15,03,30
101,2024-06-20 15:03:31,3.939667,2024,06,20,15,03,31
101,2024-06-20 15:03:32,3.937016,2024,06,20,15,03,32
101,2024-06-20 15:03:33,3.934611,2024,06,20,15,03,33
101,2024-06-20 15:03:34,3.932383,2024,06,20,15,03,34
101,2024-06-20 15:03:35,3.930312,2024,06,20,15,03,35
101,2024-06-20 15:03:36,3.928391,2024,06,20,15,03,36
101,2024-06-20 15:03:37,3.926584,2024,06,20,15,03,37
101,2024-06-20 15:03:38,3.924882,2024,06,20,15,03,38
101,2024-06-20 15:03:39,3.923278,2024,06,20,15,03,39
101,2024-06-20 15:03:40,3.921748,2024,06,20,15,03,40
101,2024-06-20 15:03:41,3.920294,2024,06,20,15,03,41
101,2024-06-20 15:03:42,3.918899,2024,06,20,15,03,42
101,2024-06-20 15:03:43,3.917559,2024,06,20,15,03,43
101,2024-06-20 15:03:44,3.91626,2024,06,20,15,03,44
101,2024-06-20 15:03:45,3.915019,2024,06,20,15,03,45
101,2024-06-20 15:03:46,3.913807,2024,06,20,15,03,46
101,2024-06-20 15:03:47,3.912624,2024,06,20,15,03,47
101,2024-06-20 15:03:48,3.911481,2024,06,20,15,03,48
101,2024-06-20 15:03:49,3.910359,2024,06,20,15,03,49
101,2024-06-20 15:03:50,3.90927,2024,06,20,15,03,50
101,2024-06-20 15:03:51,3.908194,2024,06,20,15,03,51
101,2024-06-20 15:03:52,3.907143,2024,06,20,15,03,52
101,2024-06-20 15:03:53,3.906103,2024,06,20,15,03,53
101,2024-06-20 15:03:54,3.905079,2024,06,20,15,03,54
101,2024-06-20 15:03:55,3.904078,2024,06,20,15,03,55
101,2024-06-20 15:03:56,3.903088,2024,06,20,15,03,56
101,2024-06-20 15:03:57,3.9021,2024,06,20,15,03,57
101,2024-06-20 15:03:58,3.901125,2024,06,20,15,03,58
101,2024-06-20 15:03:59,3.900167,2024,06,20,15,03,59
101,2024-06-20 15:04:00,3.89921,2024,06,20,15,04,0
101,2024-06-20 15:04:01,3.898269,2024,06,20,15,04,1
101,2024-06-20 15:04:02,3.897331,2024,06,20,15,04,2
101,2024-06-20 15:04:03,3.896408,2024,06,20,15,04,3
101,2024-06-20 15:04:04,3.895487,2024,06,20,15,04,4
101,2024-06-20 15:04:05,3.894563,2024,06,20,15,04,5
101,2024-06-20 15:04:06,3.893659,2024,06,20,15,04,6
101,2024-06-20 15:04:07,3.892745,2024,06,20,15,04,7
101,2024-06-20 15:04:08,3.891844,2024,06,20,15,04,8
101,2024-06-20 15:04:09,3.890935,2024,06,20,15,04,9
101,2024-06-20 15:04:10,3.89004,2024,06,20,15,04,10
101,2024-06-20 15:04:11,3.889142,2024,06,20,15,04,11
101,2024-06-20 15:04:12,3.888251,2024,06,20,15,04,12
101,2024-06-20 15:04:13,3.887358,2024,06,20,15,04,13
101,2024-06-20 15:04:14,3.886474,2024,06,20,15,04,14
101,2024-06-20 15:04:15,3.885591,2024,06,20,15,04,15
101,2024-06-20 15:04:16,3.884707,2024,06,20,15,04,16
101,2024-06-20 15:04:17,3.883832,2024,06,20,15,04,17
101,2024-06-20 15:04:18,3.882945,2024,06,20,15,04,18
101,2024-06-20 15:04:19,3.882078,2024,06,20,15,04,19
101,2024-06-20 15:04:20,3.881211,2024,06,20,15,04,20
101,2024-06-20 15:04:21,3.880339,2024,06,20,15,04,21
101,2024-06-20 15:04:22,3.879476,2024,06,20,15,04,22
101,2024-06-20 15:04:23,3.878606,2024,06,20,15,04,23
101,2024-06-20 15:04:24,3.877753,2024,06,20,15,04,24
101,2024-06-20 15:04:25,3.876849,2024,06,20,15,04,25
101,2024-06-20 15:04:26,3.876023,2024,06,20,15,04,26
101,2024-06-20 15:04:27,3.875159,2024,06,20,15,04,27
101,2024-06-20 15:04:28,3.874288,2024,06,20,15,04,28
101,2024-06-20 15:04:29,3.873434,2024,06,20,15,04,29
101,2024-06-20 15:04:30,3.872561,2024,06,20,15,04,30
101,2024-06-20 15:04:31,3.871703,2024,06,20,15,04,31
101,2024-06-20 15:04:32,3.870839,2024,06,20,15,04,32
101,2024-06-20 15:04:33,3.869984,2024,06,20,15,04,33
101,2024-06-20 15:04:34,3.869124,2024,06,20,15,04,34
101,2024-06-20 15:04:35,3.868265,2024,06,20,15,04,35
101,2024-06-20 15:04:36,3.867404,2024,06,20,15,04,36
101,2024-06-20 15:04:37,3.866551,2024,06,20,15,04,37
101,2024-06-20 15:04:38,3.865697,2024,06,20,15,04,38
