Channel,Timestamp,Voltage,Year,Month,Day,Hour,Minute,Second
101,2024-06-25 09:28:54,4.189983,2024,06,25,09,28,54
101,2024-06-25 09:28:55,4.115222,2024,06,25,09,28,55
101,2024-06-25 09:28:56,4.112618,2024,06,25,09,28,56
101,2024-06-25 09:28:57,4.110534,2024,06,25,09,28,57
101,2024-06-25 09:28:58,4.108762,2024,06,25,09,28,58
101,2024-06-25 09:28:59,4.107225,2024,06,25,09,28,59
101,2024-06-25 09:29:00,4.10587,2024,06,25,09,29,0
101,2024-06-25 09:29:01,4.104662,2024,06,25,09,29,1
101,2024-06-25 09:29:02,4.10357,2024,06,25,09,29,2
101,2024-06-25 09:29:03,4.102572,2024,06,25,09,29,3
101,2024-06-25 09:29:04,4.101666,2024,06,25,09,29,4
101,2024-06-25 09:29:05,4.100827,2024,06,25,09,29,5
101,2024-06-25 09:29:06,4.100038,2024,06,25,09,29,6
101,2024-06-25 09:29:07,4.099312,2024,06,25,09,29,7
101,2024-06-25 09:29:08,4.09862,2024,06,25,09,29,8
101,2024-06-25 09:29:09,4.097974,2024,06,25,09,29,9
101,2024-06-25 09:29:10,4.097359,2024,06,25,09,29,10
101,2024-06-25 09:29:11,4.096768,2024,06,25,09,29,11
101,2024-06-25 09:29:12,4.096213,2024,06,25,09,29,12
101,2024-06-25 09:29:13,4.095677,2024,06,25,09,29,13
101,2024-06-25 09:29:14,4.095161,2024,06,25,09,29,14
101,2024-06-25 09:29:15,4.094661,2024,06,25,09,29,15
101,2024-06-25 09:29:16,4.094175,2024,06,25,09,29,16
101,2024-06-25 09:29:17,4.093699,2024,06,25,09,29,17
101,2024-06-25 09:29:18,4.093241,2024,06,25,09,29,18
101,2024-06-25 09:29:19,4.092794,2024,06,25,09,29,19
101,2024-06-25 09:29:20,4.09236,2024,06,25,09,29,20
101,2024-06-25 09:29:21,4.091931,2024,06,25,09,29,21
101,2024-06-25 09:29:22,4.091511,2024,06,25,09,29,22
101,2024-06-25 09:29:23,4.091105,2024,06,25,09,29,23
101,2024-06-25 09:29:24,4.090702,2024,06,25,09,29,24
101,2024-06-25 09:29:25,4.165072,2024,06,25,09,29,25
101,2024-06-25 09:29:26,4.167265,2024,06,25,09,29,26
101,2024-06-25 09:29:27,4.16894,2024,06,25,09,29,27
101,2024-06-25 09:29:28,4.170288,2024,06,25,09,29,28
101,2024-06-25 09:29:29,4.171408,2024,06,25,09,29,29
101,2024-06-25 09:29:30,4.172347,2024,06,25,09,29,30
101,2024-06-25 09:29:31,4.173155,2024,06,25,09,29,31
101,2024-06-25 09:29:32,4.173839,2024,06,25,09,29,32
101,2024-06-25 09:29:33,4.174435,2024,06,25,09,29,33
101,2024-06-25 09:29:34,4.174944,2024,06,25,09,29,34
101,2024-06-25 09:29:35,4.175395,2024,06,25,09,29,35
101,2024-06-25 09:29:36,4.175787,2024,06,25,09,29,36
101,2024-06-25 09:29:37,4.176134,2024,06,25,09,29,37
101,2024-06-25 09:29:38,4.176438,2024,06,25,09,29,38
101,2024-06-25 09:29:39,4.176708,2024,06,25,09,29,39
101,2024-06-25 09:29:40,4.176948,2024,06,25,09,29,40
101,2024-06-25 09:29:41,4.177164,2024,06,25,09,29,41
101,2024-06-25 09:29:42,4.177352,2024,06,25,09,29,42
101,2024-06-25 09:29:43,4.177527,2024,06,25,09,29,43
101,2024-06-25 09:29:44,4.177676,2024,06,25,09,29,44
101,2024-06-25 09:29:45,4.177819,2024,06,25,09,29,45
101,2024-06-25 09:29:46,4.177942,2024,06,25,09,29,46
101,2024-06-25 09:29:47,4.17806,2024,06,25,09,29,47
101,2024-06-25 09:29:48,4.178164,2024,06,25,09,29,48
101,2024-06-25 09:29:49,4.178263,2024,06,25,09,29,49
101,2024-06-25 09:29:50,4.178344,2024,06,25,09,29,50
101,2024-06-25 09:29:51,4.178428,2024,06,25,09,29,51
101,2024-06-25 09:29:52,4.178493,2024,06,25,09,29,52
101,2024-06-25 09:29:53,4.178569,2024,06,25,09,29,53
101,2024-06-25 09:29:54,4.17863,2024,06,25,09,29,54
101,2024-06-25 09:29:55,4.178687,2024,06,25,09,29,55
101,2024-06-25 09:29:56,4.178739,2024,06,25,09,29,56
101,2024-06-25 09:29:57,4.178787,2024,06,25,09,29,57
101,2024-06-25 09:29:58,4.178838,2024,06,25,09,29,58
101,2024-06-25 09:29:59,4.178878,2024,06,25,09,29,59
101,2024-06-25 09:30:00,4.178932,2024,06,25,09,30,0
101,2024-06-25 09:30:01,4.17897,2024,06,25,09,30,1
101,2024-06-25 09:30:02,4.179011,2024,06,25,09,30,2
101,2024-06-25 09:30:03,4.179045,2024,06,25,09,30,3
101,2024-06-25 09:30:04,4.179075,2024,06,25,09,30,4
101,2024-06-25 09:30:05,4.179102,2024,06,25,09,30,5
101,2024-06-25 09:30:06,4.179132,2024,06,25,09,30,6
101,2024-06-25 09:30:07,4.179162,2024,06,25,09,30,7
101,2024-06-25 09:30:08,4.179195,2024,06,25,09,30,8
101,2024-06-25 09:30:09,4.179219,2024,06,25,09,30,9
101,2024-06-25 09:30:10,4.179246,2024,06,25,09,30,10
101,2024-06-25 09:30:11,4.179268,2024,06,25,09,30,11
101,2024-06-25 09:30:12,4.17929,2024,06,25,09,30,12
101,2024-06-25 09:30:13,4.179316,2024,06,25,09,30,13
101,2024-06-25 09:30:14,4.179341,2024,06,25,09,30,14
101,2024-06-25 09:30:15,4.179354,2024,06,25,09,30,15
101,2024-06-25 09:30:16,4.179377,2024,06,25,09,30,16
101,2024-06-25 09:30:17,4.179403,2024,06,25,09,30,17
101,2024-06-25 09:30:18,4.179414,2024,06,25,09,30,18
101,2024-06-25 09:30:19,4.179435,2024,06,25,09,30,19
101,2024-06-25 09:30:20,4.179454,2024,06,25,09,30,20
101,2024-06-25 09:30:21,4.179468,2024,06,25,09,30,21
101,2024-06-25 09:30:22,4.179486,2024,06,25,09,30,22
101,2024-06-25 09:30:23,4.179506,2024,06,25,09,30,23
101,2024-06-25 09:30:24,4.179514,2024,06,25,09,30,24
101,2024-06-25 09:30:25,4.179533,2024,06,25,09,30,25
101,2024-06-25 09:30:26,4.179548,2024,06,25,09,30,26
101,2024-06-25 09:30:27,4.179555,2024,06,25,09,30,27
101,2024-06-25 09:30:28,4.179574,2024,06,25,09,30,28
101,2024-06-25 09:30:29,4.179589,2024,06,25,09,30,29
101,2024-06-25 09:30:30,4.179605,2024,06,25,09,30,30
101,2024-06-25 09:30:31,4.179616,2024,06,25,09,30,31
101,2024-06-25 09:30:32,4.179623,2024,06,25,09,30,32
101,2024-06-25 09:30:33,4.179638,2024,06,25,09,30,33
101,2024-06-25 09:30:34,4.179651,2024,06,25,09,30,34
101,2024-06-25 09:30:35,4.179663,2024,06,25,09,30,35
101,2024-06-25 09:30:36,4.179672,2024,06,25,09,30,36
101,2024-06-25 09:30:37,4.179684,2024,06,25,09,30,37
101,2024-06-25 09:30:38,4.179694,2024,06,25,09,30,38
101,2024-06-25 09:30:39,4.179712,2024,06,25,09,30,39
101,2024-06-25 09:30:40,4.17972,2024,06,25,09,30,40
101,2024-06-25 09:30:41,4.179724,2024,06,25,09,30,41
101,2024-06-25 09:30:42,4.179738,2024,06,25,09,30,42
101,2024-06-25 09:30:43,4.179748,2024,06,25,09,30,43
101,2024-06-25 09:30:44,4.179759,2024,06,25,09,30,44
101,2024-06-25 09:30:45,4.179769,2024,06,25,09,30,45
101,2024-06-25 09:30:46,4.179777,2024,06,25,09,30,46
101,2024-06-25 09:30:47,4.179787,2024,06,25,09,30,47
101,2024-06-25 09:30:48,4.179796,2024,06,25,09,30,48
101,2024-06-25 09:30:49,4.179806,2024,06,25,09,30,49
101,2024-06-25 09:30:50,4.179811,2024,06,25,09,30,50
101,2024-06-25 09:30:51,4.179822,2024,06,25,09,30,51
