Channel,Timestamp,Temperature,Year,Month,Day,Hour,Minute,Second,Elapsed
102,2025-04-28 19:35:54,24.6045,2025,04,28,19,35,54,0 days 00:07:03
102,2025-04-28 19:35:55,24.5975,2025,04,28,19,35,55,
102,2025-04-28 19:35:56,24.5983,2025,04,28,19,35,56,
102,2025-04-28 19:35:57,24.5952,2025,04,28,19,35,57,
102,2025-04-28 19:35:58,24.5877,2025,04,28,19,35,58,
102,2025-04-28 19:35:59,24.5769,2025,04,28,19,35,59,
102,2025-04-28 19:36:00,24.5674,2025,04,28,19,36,0,
102,2025-04-28 19:36:01,24.5682,2025,04,28,19,36,1,
102,2025-04-28 19:36:02,24.5698,2025,04,28,19,36,2,
102,2025-04-28 19:36:03,24.5751,2025,04,28,19,36,3,
102,2025-04-28 19:36:04,24.5743,2025,04,28,19,36,4,
102,2025-04-28 19:36:05,24.5644,2025,04,28,19,36,5,
102,2025-04-28 19:36:06,24.5453,2025,04,28,19,36,6,
102,2025-04-28 19:36:07,24.5206,2025,04,28,19,36,7,
102,2025-04-28 19:36:08,24.51,2025,04,28,19,36,8,
102,2025-04-28 19:36:09,24.5236,2025,04,28,19,36,9,
102,2025-04-28 19:36:10,24.5061,2025,04,28,19,36,10,
102,2025-04-28 19:36:11,24.5257,2025,04,28,19,36,11,
102,2025-04-28 19:36:12,24.513,2025,04,28,19,36,12,
102,2025-04-28 19:36:13,24.5306,2025,04,28,19,36,13,
102,2025-04-28 19:36:14,24.5344,2025,04,28,19,36,14,
102,2025-04-28 19:36:15,24.5483,2025,04,28,19,36,15,
102,2025-04-28 19:36:16,24.545,2025,04,28,19,36,16,
102,2025-04-28 19:36:17,24.5455,2025,04,28,19,36,17,
102,2025-04-28 19:36:18,24.5488,2025,04,28,19,36,18,
102,2025-04-28 19:36:19,24.5501,2025,04,28,19,36,19,
102,2025-04-28 19:36:20,24.5748,2025,04,28,19,36,20,
102,2025-04-28 19:36:21,24.5896,2025,04,28,19,36,21,
102,2025-04-28 19:36:22,24.5951,2025,04,28,19,36,22,
102,2025-04-28 19:36:23,24.6006,2025,04,28,19,36,23,
