Channel,Timestamp,Temperature,Year,Month,Day,Hour,Minute,Second,Elapsed
102,2025-04-27 13:52:19,25.4502,2025,04,27,13,52,19,0 days 00:00:10
102,2025-04-27 13:52:20,25.4658,2025,04,27,13,52,20,
102,2025-04-27 13:52:21,25.4717,2025,04,27,13,52,21,
102,2025-04-27 13:52:22,25.4691,2025,04,27,13,52,22,
102,2025-04-27 13:52:23,25.4594,2025,04,27,13,52,23,
102,2025-04-27 13:52:24,25.4672,2025,04,27,13,52,24,
102,2025-04-27 13:52:25,25.4693,2025,04,27,13,52,25,
102,2025-04-27 13:52:26,25.4722,2025,04,27,13,52,26,
102,2025-04-27 13:52:27,25.4592,2025,04,27,13,52,27,
102,2025-04-27 13:52:28,25.4726,2025,04,27,13,52,28,
102,2025-04-27 13:52:29,25.4758,2025,04,27,13,52,29,
