Channel,Timestamp,Temperature,Year,Month,Day,Hour,Minute,Second,Total_time
102,2024-08-19 13:38:18,24.0379,2024,08,19,13,38,18,0 days 00:46:58
102,2024-08-19 13:38:19,24.0511,2024,08,19,13,38,19,
102,2024-08-19 13:38:20,24.0403,2024,08,19,13,38,20,
102,2024-08-19 13:38:21,24.0348,2024,08,19,13,38,21,
102,2024-08-19 13:38:22,24.0436,2024,08,19,13,38,22,
102,2024-08-19 13:38:23,24.0441,2024,08,19,13,38,23,
102,2024-08-19 13:38:24,24.0426,2024,08,19,13,38,24,
102,2024-08-19 13:38:25,24.0516,2024,08,19,13,38,25,
102,2024-08-19 13:38:26,24.0603,2024,08,19,13,38,26,
102,2024-08-19 13:38:27,24.0587,2024,08,19,13,38,27,
102,2024-08-19 13:38:28,24.0682,2024,08,19,13,38,28,
102,2024-08-19 13:38:29,24.0479,2024,08,19,13,38,29,
102,2024-08-19 13:38:30,24.057,2024,08,19,13,38,30,
102,2024-08-19 13:38:31,24.0504,2024,08,19,13,38,31,
102,2024-08-19 13:38:32,24.0501,2024,08,19,13,38,32,
102,2024-08-19 13:38:33,24.049,2024,08,19,13,38,33,
102,2024-08-19 13:38:34,24.0549,2024,08,19,13,38,34,
102,2024-08-19 13:38:35,24.0624,2024,08,19,13,38,35,
102,2024-08-19 13:38:36,24.0641,2024,08,19,13,38,36,
102,2024-08-19 13:38:37,24.0639,2024,08,19,13,38,37,
102,2024-08-19 13:38:38,24.0749,2024,08,19,13,38,38,
102,2024-08-19 13:38:39,24.0884,2024,08,19,13,38,39,
102,2024-08-19 13:38:40,24.0996,2024,08,19,13,38,40,
102,2024-08-19 13:38:41,24.1068,2024,08,19,13,38,41,
102,2024-08-19 13:38:42,24.1092,2024,08,19,13,38,42,
102,2024-08-19 13:38:43,24.1106,2024,08,19,13,38,43,
102,2024-08-19 13:38:44,24.0999,2024,08,19,13,38,44,
102,2024-08-19 13:38:45,24.1077,2024,08,19,13,38,45,
102,2024-08-19 13:38:46,24.1136,2024,08,19,13,38,46,
102,2024-08-19 13:38:47,24.1174,2024,08,19,13,38,47,
102,2024-08-19 13:38:48,24.1286,2024,08,19,13,38,48,
102,2024-08-19 13:38:49,24.1313,2024,08,19,13,38,49,
102,2024-08-19 13:38:50,24.1339,2024,08,19,13,38,50,
102,2024-08-19 13:38:51,24.1265,2024,08,19,13,38,51,
102,2024-08-19 13:38:52,24.1366,2024,08,19,13,38,52,
102,2024-08-19 13:38:53,24.1357,2024,08,19,13,38,53,
102,2024-08-19 13:38:54,24.1318,2024,08,19,13,38,54,
102,2024-08-19 13:38:55,24.1509,2024,08,19,13,38,55,
102,2024-08-19 13:38:56,24.1636,2024,08,19,13,38,56,
102,2024-08-19 13:38:57,24.1708,2024,08,19,13,38,57,
102,2024-08-19 13:38:58,24.1776,2024,08,19,13,38,58,
102,2024-08-19 13:38:59,24.1971,2024,08,19,13,38,59,
102,2024-08-19 13:39:00,24.2051,2024,08,19,13,39,0,
102,2024-08-19 13:39:01,24.2233,2024,08,19,13,39,1,
102,2024-08-19 13:39:02,24.2213,2024,08,19,13,39,2,
102,2024-08-19 13:39:03,24.2326,2024,08,19,13,39,3,
102,2024-08-19 13:39:04,24.2305,2024,08,19,13,39,4,
102,2024-08-19 13:39:05,24.2379,2024,08,19,13,39,5,
102,2024-08-19 13:39:06,24.2514,2024,08,19,13,39,6,
102,2024-08-19 13:39:07,24.2412,2024,08,19,13,39,7,
102,2024-08-19 13:39:08,24.2547,2024,08,19,13,39,8,
102,2024-08-19 13:39:09,24.2524,2024,08,19,13,39,9,
102,2024-08-19 13:39:10,24.2639,2024,08,19,13,39,10,
102,2024-08-19 13:39:11,24.2551,2024,08,19,13,39,11,
102,2024-08-19 13:39:12,24.2576,2024,08,19,13,39,12,
102,2024-08-19 13:39:13,24.2603,2024,08,19,13,39,13,
102,2024-08-19 13:39:14,24.2596,2024,08,19,13,39,14,
102,2024-08-19 13:39:15,24.2575,2024,08,19,13,39,15,
102,2024-08-19 13:39:16,24.2637,2024,08,19,13,39,16,
102,2024-08-19 13:39:17,24.2731,2024,08,19,13,39,17,
102,2024-08-19 13:39:18,24.2767,2024,08,19,13,39,18,
102,2024-08-19 13:39:19,24.287,2024,08,19,13,39,19,
102,2024-08-19 13:39:20,24.2772,2024,08,19,13,39,20,
102,2024-08-19 13:39:21,24.2796,2024,08,19,13,39,21,
102,2024-08-19 13:39:22,24.2752,2024,08,19,13,39,22,
102,2024-08-19 13:39:23,24.2749,2024,08,19,13,39,23,
102,2024-08-19 13:39:24,24.2701,2024,08,19,13,39,24,
102,2024-08-19 13:39:25,24.2735,2024,08,19,13,39,25,
102,2024-08-19 13:39:26,24.2788,2024,08,19,13,39,26,
102,2024-08-19 13:39:27,24.2788,2024,08,19,13,39,27,
102,2024-08-19 13:39:28,24.2841,2024,08,19,13,39,28,
102,2024-08-19 13:39:29,24.2808,2024,08,19,13,39,29,
102,2024-08-19 13:39:30,24.2814,2024,08,19,13,39,30,
102,2024-08-19 13:39:31,24.2779,2024,08,19,13,39,31,
102,2024-08-19 13:39:32,24.27,2024,08,19,13,39,32,
102,2024-08-19 13:39:33,24.2655,2024,08,19,13,39,33,
102,2024-08-19 13:39:34,24.2636,2024,08,19,13,39,34,
102,2024-08-19 13:39:35,24.2694,2024,08,19,13,39,35,
