Channel_x,Timestamp,Voltage,Year_x,Month_x,Day_x,Hour_x,Minute_x,Second_x,Total_time_x,Channel_y,Current,Year_y,Month_y,Day_y,Hour_y,Minute_y,Second_y,Total_time_y,Channel,Temperature,Year,Month,Day,Hour,Minute,Second,Total_time,Power,TimeDelta,Capacity
101,2024-08-19 15:35:19,3.610304,2024,8,19,15,35,19,0 days 01:23:00,111,0.005,2024,8,19,15,35,19,0 days 01:23:00,102,24.6534,2024,8,19,15,35,19,0 days 01:23:00,0.01805152,0.0,0.0
101,2024-08-19 15:35:20,3.693127,2024,8,19,15,35,20,,111,5.23,2024,8,19,15,35,20,,102,24.6506,2024,8,19,15,35,20,,19.315054210000003,1.0,1.452777777777778
101,2024-08-19 15:35:21,3.696407,2024,8,19,15,35,21,,111,5.231,2024,8,19,15,35,21,,102,24.6504,2024,8,19,15,35,21,,19.335905017,1.0,2.9058333333333333
101,2024-08-19 15:35:22,3.699126,2024,8,19,15,35,22,,111,5.232,2024,8,19,15,35,22,,102,24.6579,2024,8,19,15,35,22,,19.353827232,1.0,4.359166666666667
101,2024-08-19 15:35:23,3.701513,2024,8,19,15,35,23,,111,5.232,2024,8,19,15,35,23,,102,24.6414,2024,8,19,15,35,23,,19.366316016,1.0,5.8125
101,2024-08-19 15:35:24,3.703677,2024,8,19,15,35,24,,111,5.232,2024,8,19,15,35,24,,102,24.6485,2024,8,19,15,35,24,,19.377638064,1.0,7.265833333333333
101,2024-08-19 15:35:25,3.705666,2024,8,19,15,35,25,,111,5.233,2024,8,19,15,35,25,,102,24.6357,2024,8,19,15,35,25,,19.391750178,1.0,8.719444444444445
101,2024-08-19 15:35:26,3.707529,2024,8,19,15,35,26,,111,5.233,2024,8,19,15,35,26,,102,24.6365,2024,8,19,15,35,26,,19.401499256999998,1.0,10.173055555555555
101,2024-08-19 15:35:27,3.709279,2024,8,19,15,35,27,,111,5.232,2024,8,19,15,35,27,,102,24.6273,2024,8,19,15,35,27,,19.406947728000002,1.0,11.626388888888888
101,2024-08-19 15:35:28,3.710947,2024,8,19,15,35,28,,111,5.233,2024,8,19,15,35,28,,102,24.6255,2024,8,19,15,35,28,,19.419385651,1.0,13.079999999999998
101,2024-08-19 15:35:29,3.712542,2024,8,19,15,35,29,,111,5.233,2024,8,19,15,35,29,,102,24.6233,2024,8,19,15,35,29,,19.427732285999998,1.0,14.533611111111108
