Channel,Timestamp,Current,Year,Month,Day,Hour,Minute,Second,Total_time,TimeDelta,Capacity
111,2024-06-18 18:18:28,0.007,2024,6,18,18,18,28,0 days 01:57:40,0.0,0.0
111,2024-06-18 18:18:29,5.231000000000001,2024,6,18,18,18,29,,1.0,0.001453
111,2024-06-18 18:18:30,5.233,2024,6,18,18,18,30,,1.0,0.002907
111,2024-06-18 18:18:31,5.234,2024,6,18,18,18,31,,1.0,0.004361
111,2024-06-18 18:18:32,5.234,2024,6,18,18,18,32,,1.0,0.005814
111,2024-06-18 18:18:33,5.234,2024,6,18,18,18,33,,1.0,0.007268
111,2024-06-18 18:18:34,5.234,2024,6,18,18,18,34,,1.0,0.008722
111,2024-06-18 18:18:35,5.234,2024,6,18,18,18,35,,1.0,0.010176
111,2024-06-18 18:18:36,5.234,2024,6,18,18,18,36,,1.0,0.01163
111,2024-06-18 18:18:37,5.234,2024,6,18,18,18,37,,1.0,0.013084
111,2024-06-18 18:18:38,5.234,2024,6,18,18,18,38,,1.0,0.014538
111,2024-06-18 18:18:39,5.234,2024,6,18,18,18,39,,1.0,0.015992
111,2024-06-18 18:18:40,5.234,2024,6,18,18,18,40,,1.0,0.017446
111,2024-06-18 18:18:41,5.234,2024,6,18,18,18,41,,1.0,0.018899
111,2024-06-18 18:18:42,5.234,2024,6,18,18,18,42,,1.0,0.020353
111,2024-06-18 18:18:43,5.234,2024,6,18,18,18,43,,1.0,0.021807
111,2024-06-18 18:18:44,5.234,2024,6,18,18,18,44,,1.0,0.023261
111,2024-06-18 18:18:45,5.235,2024,6,18,18,18,45,,1.0,0.024715
111,2024-06-18 18:18:46,5.234,2024,6,18,18,18,46,,1.0,0.026169
111,2024-06-18 18:18:47,5.234,2024,6,18,18,18,47,,1.0,0.027623
111,2024-06-18 18:18:48,5.234,2024,6,18,18,18,48,,1.0,0.029077
111,2024-06-18 18:18:49,5.234,2024,6,18,18,18,49,,1.0,0.030531
111,2024-06-18 18:18:50,5.234,2024,6,18,18,18,50,,1.0,0.031985
111,2024-06-18 18:18:51,5.235,2024,6,18,18,18,51,,1.0,0.033439
111,2024-06-18 18:18:52,5.234,2024,6,18,18,18,52,,1.0,0.034893
111,2024-06-18 18:18:53,5.234,2024,6,18,18,18,53,,1.0,0.036347
111,2024-06-18 18:18:54,5.234,2024,6,18,18,18,54,,1.0,0.037801
111,2024-06-18 18:18:55,5.234,2024,6,18,18,18,55,,1.0,0.039254
111,2024-06-18 18:18:56,5.234,2024,6,18,18,18,56,,1.0,0.040708
111,2024-06-18 18:18:57,5.235,2024,6,18,18,18,57,,1.0,0.042162
111,2024-06-18 18:18:58,5.234,2024,6,18,18,18,58,,1.0,0.043616
111,2024-06-18 18:18:59,5.234,2024,6,18,18,18,59,,1.0,0.04507
111,2024-06-18 18:19:00,5.234,2024,6,18,18,19,0,,1.0,0.046524
111,2024-06-18 18:19:01,5.234,2024,6,18,18,19,1,,1.0,0.047978
111,2024-06-18 18:19:02,5.234,2024,6,18,18,19,2,,1.0,0.049432
111,2024-06-18 18:19:03,5.235,2024,6,18,18,19,3,,1.0,0.050886
111,2024-06-18 18:19:04,5.235,2024,6,18,18,19,4,,1.0,0.05234
111,2024-06-18 18:19:05,5.234,2024,6,18,18,19,5,,1.0,0.053794
111,2024-06-18 18:19:06,5.234,2024,6,18,18,19,6,,1.0,0.055248
111,2024-06-18 18:19:07,5.234,2024,6,18,18,19,7,,1.0,0.056702
111,2024-06-18 18:19:08,5.234,2024,6,18,18,19,8,,1.0,0.058156
111,2024-06-18 18:19:09,5.235,2024,6,18,18,19,9,,1.0,0.05961
111,2024-06-18 18:19:10,5.234,2024,6,18,18,19,10,,1.0,0.061064
111,2024-06-18 18:19:11,5.234,2024,6,18,18,19,11,,1.0,0.062518
111,2024-06-18 18:19:12,5.235,2024,6,18,18,19,12,,1.0,0.063972
111,2024-06-18 18:19:13,5.234,2024,6,18,18,19,13,,1.0,0.065426
111,2024-06-18 18:19:14,5.234,2024,6,18,18,19,14,,1.0,0.06688
111,2024-06-18 18:19:15,5.234,2024,6,18,18,19,15,,1.0,0.068334
111,2024-06-18 18:19:16,5.235,2024,6,18,18,19,16,,1.0,0.069788
111,2024-06-18 18:19:17,5.234,2024,6,18,18,19,17,,1.0,0.071242
111,2024-06-18 18:19:18,5.235,2024,6,18,18,19,18,,1.0,0.072696
111,2024-06-18 18:19:19,5.235,2024,6,18,18,19,19,,1.0,0.07415
111,2024-06-18 18:19:20,5.234,2024,6,18,18,19,20,,1.0,0.075604
111,2024-06-18 18:19:21,5.235,2024,6,18,18,19,21,,1.0,0.077058
111,2024-06-18 18:19:22,5.235,2024,6,18,18,19,22,,1.0,0.078512
111,2024-06-18 18:19:23,5.235,2024,6,18,18,19,23,,1.0,0.079966
111,2024-06-18 18:19:24,5.234,2024,6,18,18,19,24,,1.0,0.08142
111,2024-06-18 18:19:25,5.235,2024,6,18,18,19,25,,1.0,0.082874
111,2024-06-18 18:19:26,5.235,2024,6,18,18,19,26,,1.0,0.084329
111,2024-06-18 18:19:27,5.234,2024,6,18,18,19,27,,1.0,0.085783
111,2024-06-18 18:19:28,5.235,2024,6,18,18,19,28,,1.0,0.087237
111,2024-06-18 18:19:29,5.235,2024,6,18,18,19,29,,1.0,0.088691
111,2024-06-18 18:19:30,5.235,2024,6,18,18,19,30,,1.0,0.090145
111,2024-06-18 18:19:31,5.235,2024,6,18,18,19,31,,1.0,0.091599
111,2024-06-18 18:19:32,5.235,2024,6,18,18,19,32,,1.0,0.093053
111,2024-06-18 18:19:33,5.234,2024,6,18,18,19,33,,1.0,0.094507
111,2024-06-18 18:19:34,5.235,2024,6,18,18,19,34,,1.0,0.095961
111,2024-06-18 18:19:35,5.235,2024,6,18,18,19,35,,1.0,0.097416
111,2024-06-18 18:19:36,5.234,2024,6,18,18,19,36,,1.0,0.098869
111,2024-06-18 18:19:37,5.235,2024,6,18,18,19,37,,1.0,0.100324
111,2024-06-18 18:19:38,5.235,2024,6,18,18,19,38,,1.0,0.101778
111,2024-06-18 18:19:39,5.235,2024,6,18,18,19,39,,1.0,0.103232
111,2024-06-18 18:19:40,5.234,2024,6,18,18,19,40,,1.0,0.104686
111,2024-06-18 18:19:41,5.234,2024,6,18,18,19,41,,1.0,0.10614
111,2024-06-18 18:19:42,5.234,2024,6,18,18,19,42,,1.0,0.107594
111,2024-06-18 18:19:43,5.235,2024,6,18,18,19,43,,1.0,0.109048
111,2024-06-18 18:19:44,5.234,2024,6,18,18,19,44,,1.0,0.110502
111,2024-06-18 18:19:45,5.235,2024,6,18,18,19,45,,1.0,0.111956
111,2024-06-18 18:19:46,5.234,2024,6,18,18,19,46,,1.0,0.11341
111,2024-06-18 18:19:47,5.234,2024,6,18,18,19,47,,1.0,0.114864
111,2024-06-18 18:19:48,5.235,2024,6,18,18,19,48,,1.0,0.116318
