Channel,Timestamp,Current,Year,Month,Day,Hour,Minute,Second,Total_time,Capacity,TimeDelta
111,2024-06-20 15:03:22,0.002,2024,6,20,15,3,22,0 days 00:07:34,0.0,0.0
111,2024-06-20 15:03:23,15.623,2024,6,20,15,3,23,,0.00434,1.0
111,2024-06-20 15:03:24,15.623,2024,6,20,15,3,24,,0.008679,1.0
111,2024-06-20 15:03:25,15.622,2024,6,20,15,3,25,,0.013019,1.0
111,2024-06-20 15:03:26,15.622,2024,6,20,15,3,26,,0.017358,1.0
111,2024-06-20 15:03:27,15.623,2024,6,20,15,3,27,,0.021698,1.0
111,2024-06-20 15:03:28,15.622,2024,6,20,15,3,28,,0.026037,1.0
111,2024-06-20 15:03:29,15.622,2024,6,20,15,3,29,,0.030377,1.0
111,2024-06-20 15:03:30,15.621,2024,6,20,15,3,30,,0.034716,1.0
111,2024-06-20 15:03:31,15.621,2024,6,20,15,3,31,,0.039055,1.0
111,2024-06-20 15:03:32,15.622,2024,6,20,15,3,32,,0.043395,1.0
111,2024-06-20 15:03:33,15.621,2024,6,20,15,3,33,,0.047734,1.0
111,2024-06-20 15:03:34,15.622,2024,6,20,15,3,34,,0.052073,1.0
111,2024-06-20 15:03:35,15.622,2024,6,20,15,3,35,,0.056413,1.0
111,2024-06-20 15:03:36,15.622,2024,6,20,15,3,36,,0.060752,1.0
111,2024-06-20 15:03:37,15.622,2024,6,20,15,3,37,,0.065092,1.0
111,2024-06-20 15:03:38,15.622,2024,6,20,15,3,38,,0.069431,1.0
111,2024-06-20 15:03:39,15.622,2024,6,20,15,3,39,,0.073771,1.0
111,2024-06-20 15:03:40,15.622,2024,6,20,15,3,40,,0.07811,1.0
111,2024-06-20 15:03:41,15.621,2024,6,20,15,3,41,,0.082449,1.0
111,2024-06-20 15:03:42,15.622,2024,6,20,15,3,42,,0.086789,1.0
111,2024-06-20 15:03:43,15.622,2024,6,20,15,3,43,,0.091128,1.0
111,2024-06-20 15:03:44,15.621,2024,6,20,15,3,44,,0.095467,1.0
111,2024-06-20 15:03:45,15.622,2024,6,20,15,3,45,,0.099807,1.0
111,2024-06-20 15:03:46,15.621,2024,6,20,15,3,46,,0.104146,1.0
111,2024-06-20 15:03:47,15.622,2024,6,20,15,3,47,,0.108485,1.0
111,2024-06-20 15:03:48,15.622,2024,6,20,15,3,48,,0.112825,1.0
111,2024-06-20 15:03:49,15.622,2024,6,20,15,3,49,,0.117164,1.0
111,2024-06-20 15:03:50,15.622,2024,6,20,15,3,50,,0.121504,1.0
111,2024-06-20 15:03:51,15.622,2024,6,20,15,3,51,,0.125843,1.0
111,2024-06-20 15:03:52,15.622,2024,6,20,15,3,52,,0.130183,1.0
111,2024-06-20 15:03:53,15.622,2024,6,20,15,3,53,,0.134522,1.0
111,2024-06-20 15:03:54,15.623,2024,6,20,15,3,54,,0.138862,1.0
111,2024-06-20 15:03:55,15.621,2024,6,20,15,3,55,,0.143201,1.0
111,2024-06-20 15:03:56,15.622,2024,6,20,15,3,56,,0.14754,1.0
111,2024-06-20 15:03:57,15.622,2024,6,20,15,3,57,,0.15188,1.0
111,2024-06-20 15:03:58,15.622,2024,6,20,15,3,58,,0.156219,1.0
111,2024-06-20 15:03:59,15.622,2024,6,20,15,3,59,,0.160559,1.0
111,2024-06-20 15:04:00,15.622,2024,6,20,15,4,0,,0.164898,1.0
111,2024-06-20 15:04:01,15.622,2024,6,20,15,4,1,,0.169237,1.0
111,2024-06-20 15:04:02,15.622,2024,6,20,15,4,2,,0.173577,1.0
111,2024-06-20 15:04:03,15.622,2024,6,20,15,4,3,,0.177916,1.0
111,2024-06-20 15:04:04,15.622,2024,6,20,15,4,4,,0.182256,1.0
111,2024-06-20 15:04:05,15.622,2024,6,20,15,4,5,,0.186595,1.0
111,2024-06-20 15:04:06,15.622,2024,6,20,15,4,6,,0.190935,1.0
111,2024-06-20 15:04:07,15.623,2024,6,20,15,4,7,,0.195274,1.0
111,2024-06-20 15:04:08,15.622,2024,6,20,15,4,8,,0.199614,1.0
111,2024-06-20 15:04:09,15.622,2024,6,20,15,4,9,,0.203953,1.0
111,2024-06-20 15:04:10,15.621,2024,6,20,15,4,10,,0.208292,1.0
111,2024-06-20 15:04:11,15.622,2024,6,20,15,4,11,,0.212632,1.0
111,2024-06-20 15:04:12,15.622,2024,6,20,15,4,12,,0.216971,1.0
111,2024-06-20 15:04:13,15.622,2024,6,20,15,4,13,,0.221311,1.0
111,2024-06-20 15:04:14,15.623,2024,6,20,15,4,14,,0.225651,1.0
111,2024-06-20 15:04:15,15.622,2024,6,20,15,4,15,,0.22999,1.0
111,2024-06-20 15:04:16,15.623,2024,6,20,15,4,16,,0.23433,1.0
111,2024-06-20 15:04:17,15.622,2024,6,20,15,4,17,,0.238669,1.0
111,2024-06-20 15:04:18,15.622,2024,6,20,15,4,18,,0.243009,1.0
111,2024-06-20 15:04:19,15.622,2024,6,20,15,4,19,,0.247348,1.0
111,2024-06-20 15:04:20,15.622,2024,6,20,15,4,20,,0.251687,1.0
111,2024-06-20 15:04:21,15.622,2024,6,20,15,4,21,,0.256027,1.0
111,2024-06-20 15:04:22,15.622,2024,6,20,15,4,22,,0.260366,1.0
111,2024-06-20 15:04:23,15.623,2024,6,20,15,4,23,,0.264706,1.0
111,2024-06-20 15:04:24,15.623,2024,6,20,15,4,24,,0.269046,1.0
111,2024-06-20 15:04:25,15.623,2024,6,20,15,4,25,,0.273386,1.0
111,2024-06-20 15:04:26,15.622,2024,6,20,15,4,26,,0.277725,1.0
111,2024-06-20 15:04:27,15.622,2024,6,20,15,4,27,,0.282064,1.0
111,2024-06-20 15:04:28,15.622,2024,6,20,15,4,28,,0.286404,1.0
111,2024-06-20 15:04:29,15.623,2024,6,20,15,4,29,,0.290744,1.0
111,2024-06-20 15:04:30,15.622,2024,6,20,15,4,30,,0.295083,1.0
111,2024-06-20 15:04:31,15.622,2024,6,20,15,4,31,,0.299422,1.0
111,2024-06-20 15:04:32,15.623,2024,6,20,15,4,32,,0.303762,1.0
111,2024-06-20 15:04:33,15.622,2024,6,20,15,4,33,,0.308102,1.0
111,2024-06-20 15:04:34,15.623,2024,6,20,15,4,34,,0.312441,1.0
111,2024-06-20 15:04:35,15.622,2024,6,20,15,4,35,,0.316781,1.0
111,2024-06-20 15:04:36,15.622,2024,6,20,15,4,36,,0.32112,1.0
111,2024-06-20 15:04:37,15.623,2024,6,20,15,4,37,,0.32546,1.0
111,2024-06-20 15:04:38,15.623,2024,6,20,15,4,38,,0.3298,1.0
111,2024-06-20 15:04:39,15.622,2024,6,20,15,4,39,,0.334139,1.0
111,2024-06-20 15:04:40,15.622,2024,6,20,15,4,40,,0.338479,1.0
111,2024-06-20 15:04:41,15.622,2024,6,20,15,4,41,,0.342818,1.0
111,2024-06-20 15:04:42,15.623,2024,6,20,15,4,42,,0.347158,1.0
111,2024-06-20 15:04:43,15.622,2024,6,20,15,4,43,,0.351497,1.0
111,2024-06-20 15:04:44,15.622,2024,6,20,15,4,44,,0.355837,1.0
111,2024-06-20 15:04:45,15.622,2024,6,20,15,4,45,,0.360176,1.0
111,2024-06-20 15:04:46,15.623,2024,6,20,15,4,46,,0.364516,1.0
111,2024-06-20 15:04:47,15.623,2024,6,20,15,4,47,,0.368856,1.0
111,2024-06-20 15:04:48,15.623,2024,6,20,15,4,48,,0.373195,1.0
111,2024-06-20 15:04:49,15.623,2024,6,20,15,4,49,,0.377535,1.0
111,2024-06-20 15:04:50,15.622,2024,6,20,15,4,50,,0.381874,1.0
111,2024-06-20 15:04:51,15.623,2024,6,20,15,4,51,,0.386214,1.0
111,2024-06-20 15:04:52,15.623,2024,6,20,15,4,52,,0.390554,1.0
111,2024-06-20 15:04:53,15.623,2024,6,20,15,4,53,,0.394894,1.0
111,2024-06-20 15:04:54,15.623,2024,6,20,15,4,54,,0.399233,1.0
111,2024-06-20 15:04:55,15.623,2024,6,20,15,4,55,,0.403573,1.0
111,2024-06-20 15:04:56,15.623,2024,6,20,15,4,56,,0.407913,1.0
111,2024-06-20 15:04:57,15.623,2024,6,20,15,4,57,,0.412253,1.0
111,2024-06-20 15:04:58,15.623,2024,6,20,15,4,58,,0.416592,1.0
111,2024-06-20 15:04:59,15.622,2024,6,20,15,4,59,,0.420932,1.0
111,2024-06-20 15:05:00,15.623,2024,6,20,15,5,0,,0.425271,1.0
111,2024-06-20 15:05:01,15.623,2024,6,20,15,5,1,,0.429611,1.0
111,2024-06-20 15:05:02,15.623,2024,6,20,15,5,2,,0.433951,1.0
111,2024-06-20 15:05:03,15.623,2024,6,20,15,5,3,,0.438291,1.0
111,2024-06-20 15:05:04,15.624,2024,6,20,15,5,4,,0.442631,1.0
111,2024-06-20 15:05:05,15.623,2024,6,20,15,5,5,,0.44697,1.0
111,2024-06-20 15:05:06,15.623,2024,6,20,15,5,6,,0.45131,1.0
111,2024-06-20 15:05:07,15.623,2024,6,20,15,5,7,,0.45565,1.0
111,2024-06-20 15:05:08,15.623,2024,6,20,15,5,8,,0.459989,1.0
111,2024-06-20 15:05:09,15.623,2024,6,20,15,5,9,,0.464329,1.0
111,2024-06-20 15:05:10,15.624,2024,6,20,15,5,10,,0.468669,1.0
111,2024-06-20 15:05:11,15.624,2024,6,20,15,5,11,,0.473009,1.0
111,2024-06-20 15:05:12,15.623,2024,6,20,15,5,12,,0.477349,1.0
111,2024-06-20 15:05:13,15.623,2024,6,20,15,5,13,,0.481689,1.0
111,2024-06-20 15:05:14,15.623,2024,6,20,15,5,14,,0.486028,1.0
111,2024-06-20 15:05:15,15.623,2024,6,20,15,5,15,,0.490368,1.0
111,2024-06-20 15:05:16,15.623,2024,6,20,15,5,16,,0.494708,1.0
111,2024-06-20 15:05:17,15.623,2024,6,20,15,5,17,,0.499048,1.0
111,2024-06-20 15:05:18,15.623,2024,6,20,15,5,18,,0.503387,1.0
111,2024-06-20 15:05:19,15.623,2024,6,20,15,5,19,,0.507727,1.0
111,2024-06-20 15:05:20,15.623,2024,6,20,15,5,20,,0.512067,1.0
111,2024-06-20 15:05:21,15.623,2024,6,20,15,5,21,,0.516406,1.0
111,2024-06-20 15:05:22,15.623,2024,6,20,15,5,22,,0.520746,1.0
111,2024-06-20 15:05:23,15.623,2024,6,20,15,5,23,,0.525086,1.0
111,2024-06-20 15:05:24,15.623,2024,6,20,15,5,24,,0.529426,1.0
111,2024-06-20 15:05:25,15.624,2024,6,20,15,5,25,,0.533766,1.0
111,2024-06-20 15:05:26,15.623,2024,6,20,15,5,26,,0.538105,1.0
111,2024-06-20 15:05:27,15.623,2024,6,20,15,5,27,,0.542445,1.0
111,2024-06-20 15:05:28,15.623,2024,6,20,15,5,28,,0.546785,1.0
111,2024-06-20 15:05:29,15.623,2024,6,20,15,5,29,,0.551124,1.0
111,2024-06-20 15:05:30,15.624,2024,6,20,15,5,30,,0.555464,1.0
111,2024-06-20 15:05:31,15.623,2024,6,20,15,5,31,,0.559804,1.0
111,2024-06-20 15:05:32,15.623,2024,6,20,15,5,32,,0.564144,1.0
111,2024-06-20 15:05:33,15.623,2024,6,20,15,5,33,,0.568484,1.0
111,2024-06-20 15:05:34,15.624,2024,6,20,15,5,34,,0.572824,1.0
111,2024-06-20 15:05:35,15.623,2024,6,20,15,5,35,,0.577163,1.0
111,2024-06-20 15:05:36,15.623,2024,6,20,15,5,36,,0.581503,1.0
111,2024-06-20 15:05:37,15.623,2024,6,20,15,5,37,,0.585843,1.0
111,2024-06-20 15:05:38,15.623,2024,6,20,15,5,38,,0.590183,1.0
111,2024-06-20 15:05:39,15.623,2024,6,20,15,5,39,,0.594522,1.0
111,2024-06-20 15:05:40,15.624,2024,6,20,15,5,40,,0.598862,1.0
111,2024-06-20 15:05:41,15.623,2024,6,20,15,5,41,,0.603202,1.0
111,2024-06-20 15:05:42,15.623,2024,6,20,15,5,42,,0.607542,1.0
111,2024-06-20 15:05:43,15.623,2024,6,20,15,5,43,,0.611881,1.0
111,2024-06-20 15:05:44,15.623,2024,6,20,15,5,44,,0.616221,1.0
